column,missing_count,missing_ratio,dtype
au12_activation_frequency__max,0,0.0,float64
au12_activation_frequency__mean,0,0.0,float64
au12_activation_frequency__min,0,0.0,float64
au12_activation_frequency__range,0,0.0,float64
au12_activation_frequency__slope,0,0.0,float64
au12_activation_frequency__std,0,0.0,float64
au12_mean_amplitude__max,0,0.0,float64
au12_mean_amplitude__mean,0,0.0,float64
au12_mean_amplitude__min,0,0.0,float64
au12_mean_amplitude__range,0,0.0,float64
au12_mean_amplitude__slope,0,0.0,float64
au12_mean_amplitude__std,0,0.0,float64
au12_variance__max,0,0.0,float64
au12_variance__mean,0,0.0,float64
au12_variance__min,0,0.0,float64
au12_variance__range,0,0.0,float64
au12_variance__slope,0,0.0,float64
au12_variance__std,0,0.0,float64
au15_mean_amplitude__max,0,0.0,float64
au15_mean_amplitude__mean,0,0.0,float64
au15_mean_amplitude__min,0,0.0,float64
au15_mean_amplitude__range,0,0.0,float64
au15_mean_amplitude__slope,0,0.0,float64
au15_mean_amplitude__std,0,0.0,float64
au1_au2_peak_intensity__max,0,0.0,float64
au1_au2_peak_intensity__mean,0,0.0,float64
au1_au2_peak_intensity__min,0,0.0,float64
au1_au2_peak_intensity__range,0,0.0,float64
au1_au2_peak_intensity__slope,0,0.0,float64
au1_au2_peak_intensity__std,0,0.0,float64
au20_activation_rate__max,0,0.0,float64
au20_activation_rate__mean,0,0.0,float64
au20_activation_rate__min,0,0.0,float64
au20_activation_rate__range,0,0.0,float64
au20_activation_rate__slope,0,0.0,float64
au20_activation_rate__std,0,0.0,float64
au4_duration_ratio__max,0,0.0,float64
au4_duration_ratio__mean,0,0.0,float64
au4_duration_ratio__min,0,0.0,float64
au4_duration_ratio__range,0,0.0,float64
au4_duration_ratio__slope,0,0.0,float64
au4_duration_ratio__std,0,0.0,float64
au4_mean_activation__max,0,0.0,float64
au4_mean_activation__mean,0,0.0,float64
au4_mean_activation__min,0,0.0,float64
au4_mean_activation__range,0,0.0,float64
au4_mean_activation__slope,0,0.0,float64
au4_mean_activation__std,0,0.0,float64
baseline_eye_openness__max,0,0.0,float64
baseline_eye_openness__mean,0,0.0,float64
baseline_eye_openness__min,0,0.0,float64
baseline_eye_openness__range,0,0.0,float64
baseline_eye_openness__slope,0,0.0,float64
baseline_eye_openness__std,0,0.0,float64
blink_cluster_density__max,0,0.0,float64
blink_cluster_density__mean,0,0.0,float64
blink_cluster_density__min,0,0.0,float64
blink_cluster_density__range,0,0.0,float64
blink_cluster_density__slope,0,0.0,float64
blink_cluster_density__std,0,0.0,float64
blink_duration__max,0,0.0,float64
blink_duration__mean,0,0.0,float64
blink_duration__min,0,0.0,float64
blink_duration__range,0,0.0,float64
blink_duration__slope,0,0.0,float64
blink_duration__std,0,0.0,float64
blink_rate__max,0,0.0,float64
blink_rate__mean,0,0.0,float64
blink_rate__min,0,0.0,float64
blink_rate__range,0,0.0,float64
blink_rate__slope,0,0.0,float64
blink_rate__std,0,0.0,float64
condition_label,0,0.0,str
downward_gaze_frequency__max,0,0.0,float64
downward_gaze_frequency__mean,0,0.0,float64
downward_gaze_frequency__min,0,0.0,float64
downward_gaze_frequency__range,0,0.0,float64
downward_gaze_frequency__slope,0,0.0,float64
downward_gaze_frequency__std,0,0.0,float64
extended_silence_ratio__max,0,0.0,float64
extended_silence_ratio__mean,0,0.0,float64
extended_silence_ratio__min,0,0.0,float64
extended_silence_ratio__range,0,0.0,float64
extended_silence_ratio__slope,0,0.0,float64
extended_silence_ratio__std,0,0.0,float64
eye_contact_ratio__max,0,0.0,float64
eye_contact_ratio__mean,0,0.0,float64
eye_contact_ratio__min,0,0.0,float64
eye_contact_ratio__range,0,0.0,float64
eye_contact_ratio__slope,0,0.0,float64
eye_contact_ratio__std,0,0.0,float64
facial_emotional_range__max,0,0.0,float64
facial_emotional_range__mean,0,0.0,float64
facial_emotional_range__min,0,0.0,float64
facial_emotional_range__range,0,0.0,float64
facial_emotional_range__slope,0,0.0,float64
facial_emotional_range__std,0,0.0,float64
facial_transition_frequency__max,0,0.0,float64
facial_transition_frequency__mean,0,0.0,float64
facial_transition_frequency__min,0,0.0,float64
facial_transition_frequency__range,0,0.0,float64
facial_transition_frequency__slope,0,0.0,float64
facial_transition_frequency__std,0,0.0,float64
gaze_shift_frequency__max,0,0.0,float64
gaze_shift_frequency__mean,0,0.0,float64
gaze_shift_frequency__min,0,0.0,float64
gaze_shift_frequency__range,0,0.0,float64
gaze_shift_frequency__slope,0,0.0,float64
gaze_shift_frequency__std,0,0.0,float64
gesture_frequency__max,0,0.0,float64
gesture_frequency__mean,0,0.0,float64
gesture_frequency__min,0,0.0,float64
gesture_frequency__range,0,0.0,float64
gesture_frequency__slope,0,0.0,float64
gesture_frequency__std,0,0.0,float64
head_motion_energy__max,0,0.0,float64
head_motion_energy__mean,0,0.0,float64
head_motion_energy__min,0,0.0,float64
head_motion_energy__range,0,0.0,float64
head_motion_energy__slope,0,0.0,float64
head_motion_energy__std,0,0.0,float64
head_velocity_peak__max,0,0.0,float64
head_velocity_peak__mean,0,0.0,float64
head_velocity_peak__min,0,0.0,float64
head_velocity_peak__range,0,0.0,float64
head_velocity_peak__slope,0,0.0,float64
head_velocity_peak__std,0,0.0,float64
landmark_displacement_mean__max,0,0.0,float64
landmark_displacement_mean__mean,0,0.0,float64
landmark_displacement_mean__min,0,0.0,float64
landmark_displacement_mean__range,0,0.0,float64
landmark_displacement_mean__slope,0,0.0,float64
landmark_displacement_mean__std,0,0.0,float64
lip_compression_frequency__max,0,0.0,float64
lip_compression_frequency__mean,0,0.0,float64
lip_compression_frequency__min,0,0.0,float64
lip_compression_frequency__range,0,0.0,float64
lip_compression_frequency__slope,0,0.0,float64
lip_compression_frequency__std,0,0.0,float64
mean_head_velocity__max,0,0.0,float64
mean_head_velocity__mean,0,0.0,float64
mean_head_velocity__min,0,0.0,float64
mean_head_velocity__range,0,0.0,float64
mean_head_velocity__slope,0,0.0,float64
mean_head_velocity__std,0,0.0,float64
micro_motion_energy__max,0,0.0,float64
micro_motion_energy__mean,0,0.0,float64
micro_motion_energy__min,0,0.0,float64
micro_motion_energy__range,0,0.0,float64
micro_motion_energy__slope,0,0.0,float64
micro_motion_energy__std,0,0.0,float64
motion_energy_floor_score__max,0,0.0,float64
motion_energy_floor_score__mean,0,0.0,float64
motion_energy_floor_score__min,0,0.0,float64
motion_energy_floor_score__range,0,0.0,float64
motion_energy_floor_score__slope,0,0.0,float64
motion_energy_floor_score__std,0,0.0,float64
near_zero_au_activation_ratio__max,0,0.0,float64
near_zero_au_activation_ratio__mean,0,0.0,float64
near_zero_au_activation_ratio__min,0,0.0,float64
near_zero_au_activation_ratio__range,0,0.0,float64
near_zero_au_activation_ratio__slope,0,0.0,float64
near_zero_au_activation_ratio__std,0,0.0,float64
nod_onset_latency__max,0,0.0,float64
nod_onset_latency__mean,0,0.0,float64
nod_onset_latency__min,0,0.0,float64
nod_onset_latency__range,0,0.0,float64
nod_onset_latency__slope,0,0.0,float64
nod_onset_latency__std,0,0.0,float64
overall_au_variance__max,0,0.0,float64
overall_au_variance__mean,0,0.0,float64
overall_au_variance__min,0,0.0,float64
overall_au_variance__range,0,0.0,float64
overall_au_variance__slope,0,0.0,float64
overall_au_variance__std,0,0.0,float64
patient_id,0,0.0,int64
pause_duration_mean__max,0,0.0,float64
pause_duration_mean__mean,0,0.0,float64
pause_duration_mean__min,0,0.0,float64
pause_duration_mean__range,0,0.0,float64
pause_duration_mean__slope,0,0.0,float64
pause_duration_mean__std,0,0.0,float64
posture_rigidity_index__max,0,0.0,float64
posture_rigidity_index__mean,0,0.0,float64
posture_rigidity_index__min,0,0.0,float64
posture_rigidity_index__range,0,0.0,float64
posture_rigidity_index__slope,0,0.0,float64
posture_rigidity_index__std,0,0.0,float64
reaction_time_instability_index__max,0,0.0,float64
reaction_time_instability_index__mean,0,0.0,float64
reaction_time_instability_index__min,0,0.0,float64
reaction_time_instability_index__range,0,0.0,float64
reaction_time_instability_index__slope,0,0.0,float64
reaction_time_instability_index__std,0,0.0,float64
response_latency_mean__max,0,0.0,float64
response_latency_mean__mean,0,0.0,float64
response_latency_mean__min,0,0.0,float64
response_latency_mean__range,0,0.0,float64
response_latency_mean__slope,0,0.0,float64
response_latency_mean__std,0,0.0,float64
source_file,0,0.0,str
speech_onset_delay__max,0,0.0,float64
speech_onset_delay__mean,0,0.0,float64
speech_onset_delay__min,0,0.0,float64
speech_onset_delay__range,0,0.0,float64
speech_onset_delay__slope,0,0.0,float64
speech_onset_delay__std,0,0.0,float64
